,ID,field,RA,dec,z_best
0,26380,aegis,214.87675476,52.86719513,0.264
1,14044,aegis,214.89454651,52.82984161,0.436
2,17857,aegis,214.73245239,52.73160172,0.2863
3,19820,aegis,214.69877625,52.71353531,0.4197
4,26829,aegis,214.67869568,52.73098755,0.3996
5,14399,aegis,214.98548889,52.89781952,0.6568
6,25411,aegis,215.00138855,52.95539474,0.3246
7,27777,aegis,214.99832153,52.95890808,0.6866
8,28143,aegis,214.96194458,52.93712997,0.6824
9,16150,aegis,214.82118225,52.79069519,0.5098
10,37275,aegis,214.85006714,52.89144897,0.304
11,38278,aegis,214.83427429,52.89383316,0.6976
12,17442,aegis,214.84858704,52.81499863,0.6633
13,21300,aegis,214.82250977,52.80791855,0.2161
14,10415,aegis,214.83007812,52.77143478,0.2479
15,19787,aegis,214.91598511,52.87103271,0.4361
16,20244,aegis,214.92077637,52.87673569,0.6739
17,33787,aegis,214.98503113,52.97243118,0.5546
18,30005,aegis,214.95265198,52.93842697,0.2776
19,30483,aegis,214.92094421,52.9169693,0.6509999999999999
20,34526,aegis,214.81526184,52.85866547,0.6609999999999999
21,35066,aegis,214.79814148,52.84794998,0.5838
22,37372,aegis,214.79150391,52.8521347,0.6544
23,33787,aegis,214.98503113,52.97243118,0.5546
24,38071,aegis,214.993927,53.00002289,0.6019
25,11221,aegis,214.85877991,52.79935455,0.4337
26,12772,aegis,214.86219788,52.8019104,0.5236
27,16063,aegis,214.84210205,52.80105591,0.2445
28,25411,aegis,215.00138855,52.95539474,0.3246
29,12772,aegis,214.86219788,52.8019104,0.5236
30,14044,aegis,214.89454651,52.82984161,0.436
31,17442,aegis,214.84858704,52.81499863,0.6633
