,ID,field,RA,dec,z_best
0,19842,cosmos,150.084198,2.38618851,0.2311
1,20236,cosmos,150.0844574,2.38795972,0.2254
2,20423,cosmos,150.07843018,2.38957119,0.354
3,20912,cosmos,150.08171082,2.39370012,0.2238
4,21003,cosmos,150.07850647,2.39496326,0.2214
5,21548,cosmos,150.08560181,2.40094733,0.2196
6,21739,cosmos,150.08027649,2.40271187,0.4492
7,21966,cosmos,150.08624268,2.4065659,0.2225
8,22285,cosmos,150.0723877,2.41141868,0.5328
9,22611,cosmos,150.06797791,2.41255593,0.2272
10,13683,cosmos,150.09539795,2.32073259,0.2093
11,14860,cosmos,150.09844971,2.33402467,0.3764
12,16320,cosmos,150.07463074,2.34846306,0.2204
13,11158,cosmos,150.18965149,2.29386854,0.6947
14,13942,cosmos,150.18925476,2.32564259,0.4757
15,24252,cosmos,150.07531738,2.43814468,0.2201
16,25114,cosmos,150.08169556,2.44071984,0.2074
17,25418,cosmos,150.07868958,2.44340324,0.6556
18,25888,cosmos,150.06900024,2.44926286,0.2371
19,27554,cosmos,150.12033081,2.47154856,0.5074
20,13901,cosmos,150.16604614,2.33196449,0.6841
21,15035,cosmos,150.18441772,2.33366084,0.596
22,16417,cosmos,150.17416382,2.34771204,0.6871
23,14034,cosmos,150.11474609,2.33278203,0.3743
24,16377,cosmos,150.12194824,2.34903979,0.2235
25,16640,cosmos,150.11457825,2.35007596,0.2196
26,16686,cosmos,150.12197876,2.35222149,0.2225
27,16922,cosmos,150.12623596,2.35783124,0.2599
28,17246,cosmos,150.09629822,2.35681987,0.5298
29,17321,cosmos,150.12620544,2.36123037,0.2184
30,17516,cosmos,150.1317749,2.35866189,0.6998
31,17943,cosmos,150.12997437,2.36465812,0.2207
32,25830,cosmos,150.14489746,2.44885731,0.3861
33,26531,cosmos,150.14613342,2.45695639,0.3344
34,27067,cosmos,150.13717651,2.4631207,0.5079
35,27160,cosmos,150.14161682,2.46456432,0.509
36,24609,cosmos,150.12782288,2.43339014,0.6762
37,25830,cosmos,150.14489746,2.44885731,0.3861
38,20605,cosmos,150.15652466,2.39310122,0.5952
39,20964,cosmos,150.15614319,2.39423227,0.599
40,17262,cosmos,150.16255188,2.35670614,0.6609999999999999
41,17321,cosmos,150.12620544,2.36123037,0.2184
42,17516,cosmos,150.1317749,2.35866189,0.6998
43,18089,cosmos,150.13568115,2.3665514,0.3799
44,3851,cosmos,150.17506409,2.21805835,0.6775
45,5984,cosmos,150.1668396,2.23991466,0.6611
46,12390,cosmos,150.14396667,2.30736423,0.228
47,12460,cosmos,150.14797974,2.310781,0.4785
48,14840,cosmos,150.13156128,2.33285236,0.2196
49,10027,cosmos,150.13536072,2.28300691,0.6677
50,10296,cosmos,150.15771484,2.28538489,0.6778
51,12390,cosmos,150.14396667,2.30736423,0.228
52,12460,cosmos,150.14797974,2.310781,0.4785
53,10494,cosmos,150.09614563,2.29856491,0.3662
54,11218,cosmos,150.09489441,2.29702902,0.3607
55,11319,cosmos,150.10012817,2.29713821,0.3696
56,11577,cosmos,150.10752869,2.30270672,0.2199
57,11710,cosmos,150.09559631,2.29935551,0.3668
58,12923,cosmos,150.09474182,2.31363368,0.3952
59,13044,cosmos,150.12434387,2.3134172,0.2056
60,13524,cosmos,150.11950684,2.32213378,0.6043
61,17246,cosmos,150.09629822,2.35681987,0.5298
62,17372,cosmos,150.09553528,2.35801196,0.23
63,19842,cosmos,150.084198,2.38618851,0.2311
64,19926,cosmos,150.09010315,2.38303232,0.2275
65,20236,cosmos,150.0844574,2.38795972,0.2254
66,20476,cosmos,150.09901428,2.38875151,0.2129
67,20651,cosmos,150.1025238,2.39001751,0.2294
68,20686,cosmos,150.11395264,2.39124346,0.2214
69,10880,cosmos,150.08610535,2.29245186,0.3682
70,11580,cosmos,150.08879089,2.30020523,0.5301
71,12115,cosmos,150.08300781,2.30482483,0.3607
72,12743,cosmos,150.07852173,2.3107965,0.2275
73,16320,cosmos,150.07463074,2.34846306,0.2204
74,17320,cosmos,150.09306335,2.35762048,0.2347
75,17372,cosmos,150.09553528,2.35801196,0.23
76,18177,cosmos,150.07237244,2.36793494,0.3482
77,18192,cosmos,150.087677,2.36709547,0.2135
78,18990,cosmos,150.07444763,2.3761096,0.3493
79,23071,cosmos,150.11001587,2.41627693,0.2171
80,23951,cosmos,150.09803772,2.42612529,0.2318
