,ID,field,RA,dec,z_best
0,13343,cosmos,188.98423799999998,62.208234,0.608
1,17347,cosmos,189.073646,62.228979,0.5337
2,20538,cosmos,189.101646,62.248399,0.6387
3,20567,cosmos,189.10374099999999,62.244092,0.6404
4,20173,cosmos,189.142565,62.242487,0.5184
5,20538,cosmos,189.101646,62.248399,0.6387
6,22184,cosmos,189.10298799999998,62.252928000000004,0.642
7,25855,cosmos,189.15833,62.2709,0.529
8,25855,cosmos,189.15833,62.2709,0.529
9,31269,cosmos,189.235222,62.301163,0.4973
10,36303,cosmos,189.29656799999998,62.34024,0.6334
11,36303,cosmos,189.29656799999998,62.34024,0.6334
12,12893,cosmos,189.063655,62.206038,0.3198
13,13813,cosmos,189.115851,62.211313,0.5153
14,13978,cosmos,189.155607,62.214573,0.4843
15,14746,cosmos,189.104411,62.216846,0.5185
16,15204,cosmos,189.167115,62.218225,0.4854
17,15178,cosmos,189.20031,62.219187,0.4745
18,18132,cosmos,189.172782,62.234117000000005,0.5556
19,19651,cosmos,189.220356,62.24559,0.3208
20,21047,cosmos,189.195376,62.246517000000004,0.556
21,21582,cosmos,189.233618,62.248567,0.3215
22,28082,cosmos,189.309681,62.282336,0.4478
23,33772,cosmos,189.310344,62.316178,0.4963
24,11194,cosmos,189.193835,62.19759200000001,0.5039
25,12006,cosmos,189.239519,62.202983999999994,0.6645
26,13032,cosmos,189.236008,62.212653,0.5178
27,13467,cosmos,189.252336,62.209639,0.5631
28,13977,cosmos,189.20944,62.212725,0.6806
29,16231,cosmos,189.254423,62.222122,0.665
30,18794,cosmos,189.263868,62.238337,0.512
31,19290,cosmos,189.283925,62.239637,0.564
32,19726,cosmos,189.289889,62.239863,0.4753
33,21735,cosmos,189.286016,62.250432999999994,0.5673
34,21683,cosmos,189.318225,62.253420999999996,0.5605
35,21735,cosmos,189.286016,62.250432999999994,0.5673
36,12481,cosmos,189.280272,62.203888,0.6551
37,14316,cosmos,189.362379,62.213525,0.3896
38,16811,cosmos,189.347402,62.225862,0.4765
39,19106,cosmos,189.403575,62.23791800000001,0.688
40,22184,cosmos,189.10298799999998,62.252928000000004,0.642
41,25855,cosmos,189.15833,62.2709,0.529
42,13978,cosmos,189.155607,62.214573,0.4843
43,14746,cosmos,189.104411,62.216846,0.5185
