DETECTOR,ID,region,filename,chip
WFC3,26380,1,aegis-01-G141_26380.1D.fits,0	
WFC3,14399,6,aegis-06-G141_14399.1D.fits,0		
WFC3,25411,8,aegis-08-G141_25411.1D.fits,0		
WFC3,27777,8,aegis-08-G141_27777.1D.fits,0		
WFC3,28143,8,aegis-08-G141_28143.1D.fits,0
WFC3,37275,11,aegis-11-G141_37275.1D.fits,0		
WFC3,38278,11,aegis-11-G141_38278.1D.fits,0
WFC3,19787,16,aegis-16-G141_19787.1D.fits,0		
WFC3,20244,16,aegis-16-G141_20244.1D.fits,0		
WFC3,33787,17,aegis-17-G141_33787.1D.fits,0		
WFC3,30005,19,aegis-19-G141_30005.1D.fits,0		
WFC3,30483,19,aegis-19-G141_30483.1D.fits,0		
WFC3,34526,23,aegis-23-G141_34526.1D.fits,0
WFC3,37372,23,aegis-23-G141_37372.1D.fits,0		
WFC3,33787,27,aegis-27-G141_33787.1D.fits,0		
WFC3,38071,27,aegis-27-G141_38071.1D.fits,0
WFC3,25411,29,aegis-29-G141_25411.1D.fits,0
