DETECTOR,ID,region,filename,chip
WFC3,14044,2,aegis-02-G141_14044.1D.fits,0
WFC3,17857,3,aegis-03-G141_17857.1D.fits,0
WFC3,19820,3,aegis-03-G141_19820.1D.fits,0
WFC3,26829,3,aegis-03-G141_26829.1D.fits,0
WFC3,16150,9,aegis-09-G141_16150.1D.fits,0
WFC3,17442,14,aegis-14-G141_17442.1D.fits,0
WFC3,21300,14,aegis-14-G141_21300.1D.fits,0
WFC3,10415,15,aegis-15-G141_10415.1D.fits,0
WFC3,35066,23,aegis-23-G141_35066.1D.fits,0
WFC3,33787,27,aegis-27-G141_33787.1D.fits,0
WFC3,11221,28,aegis-28-G141_11221.1D.fits,0
WFC3,12772,28,aegis-28-G141_12772.1D.fits,0
WFC3,16063,28,aegis-28-G141_16063.1D.fits,0
WFC3,12772,30,aegis-30-G141_12772.1D.fits,0
WFC3,14044,30,aegis-30-G141_14044.1D.fits,0
WFC3,17442,30,aegis-30-G141_17442.1D.fits,0
