DETECTOR,ID,region,filename,chip
WFC3,19842,1,cosmos-01-G141_19842.1D.fits,0
WFC3,20236,1,cosmos-01-G141_20236.1D.fits,0
WFC3,20423,1,cosmos-01-G141_20423.1D.fits,0
WFC3,20912,1,cosmos-01-G141_20912.1D.fits,0
WFC3,21003,1,cosmos-01-G141_21003.1D.fits,0
WFC3,21548,1,cosmos-01-G141_21548.1D.fits,0
WFC3,21739,1,cosmos-01-G141_21739.1D.fits,0
WFC3,21966,1,cosmos-01-G141_21966.1D.fits,0
WFC3,22285,1,cosmos-01-G141_22285.1D.fits,0
WFC3,22611,1,cosmos-01-G141_22611.1D.fits,0
WFC3,13683,3,cosmos-03-G141_13683.1D.fits,0
WFC3,14860,3,cosmos-03-G141_14860.1D.fits,0
WFC3,16320,3,cosmos-03-G141_16320.1D.fits,0
WFC3,11158,4,cosmos-04-G141_11158.1D.fits,0
WFC3,13942,4,cosmos-04-G141_13942.1D.fits,0
WFC3,24252,7,cosmos-07-G141_24252.1D.fits,0
WFC3,25114,7,cosmos-07-G141_25114.1D.fits,0
WFC3,25418,7,cosmos-07-G141_25418.1D.fits,0
WFC3,25888,7,cosmos-07-G141_25888.1D.fits,0
WFC3,27554,8,cosmos-08-G141_27554.1D.fits,0
WFC3,13901,9,cosmos-09-G141_13901.1D.fits,0
WFC3,15035,9,cosmos-09-G141_15035.1D.fits,0
WFC3,16417,9,cosmos-09-G141_16417.1D.fits,0
WFC3,14034,10,cosmos-10-G141_14034.1D.fits,0
WFC3,16377,10,cosmos-10-G141_16377.1D.fits,0
WFC3,16640,10,cosmos-10-G141_16640.1D.fits,0
WFC3,16686,10,cosmos-10-G141_16686.1D.fits,0
WFC3,16922,10,cosmos-10-G141_16922.1D.fits,0
WFC3,17246,10,cosmos-10-G141_17246.1D.fits,0
WFC3,17321,10,cosmos-10-G141_17321.1D.fits,0
WFC3,17516,10,cosmos-10-G141_17516.1D.fits,0
WFC3,17943,10,cosmos-10-G141_17943.1D.fits,0
WFC3,25830,11,cosmos-11-G141_25830.1D.fits,0
WFC3,26531,11,cosmos-11-G141_26531.1D.fits,0
WFC3,27067,11,cosmos-11-G141_27067.1D.fits,0
WFC3,27160,11,cosmos-11-G141_27160.1D.fits,0
WFC3,24609,15,cosmos-15-G141_24609.1D.fits,0
WFC3,25830,15,cosmos-15-G141_25830.1D.fits,0
WFC3,20605,16,cosmos-16-G141_20605.1D.fits,0
WFC3,20964,16,cosmos-16-G141_20964.1D.fits,0
WFC3,17262,17,cosmos-17-G141_17262.1D.fits,0
WFC3,17321,17,cosmos-17-G141_17321.1D.fits,0
WFC3,17516,17,cosmos-17-G141_17516.1D.fits,0
WFC3,18089,17,cosmos-17-G141_18089.1D.fits,0
WFC3,3851,19,cosmos-19-G141_03851.1D.fits,0
WFC3,5984,19,cosmos-19-G141_05984.1D.fits,0
WFC3,12390,20,cosmos-20-G141_12390.1D.fits,0
WFC3,12460,20,cosmos-20-G141_12460.1D.fits,0
WFC3,14840,20,cosmos-20-G141_14840.1D.fits,0
WFC3,10027,23,cosmos-23-G141_10027.1D.fits,0
WFC3,10296,23,cosmos-23-G141_10296.1D.fits,0
WFC3,12390,23,cosmos-23-G141_12390.1D.fits,0
WFC3,12460,23,cosmos-23-G141_12460.1D.fits,0
WFC3,10494,24,cosmos-24-G141_10494.1D.fits,0
WFC3,11218,24,cosmos-24-G141_11218.1D.fits,0
WFC3,11319,24,cosmos-24-G141_11319.1D.fits,0
WFC3,11577,24,cosmos-24-G141_11577.1D.fits,0
WFC3,11710,24,cosmos-24-G141_11710.1D.fits,0
WFC3,12923,24,cosmos-24-G141_12923.1D.fits,0
WFC3,13044,24,cosmos-24-G141_13044.1D.fits,0
WFC3,13524,24,cosmos-24-G141_13524.1D.fits,0
WFC3,17246,25,cosmos-25-G141_17246.1D.fits,0
WFC3,17372,25,cosmos-25-G141_17372.1D.fits,0
WFC3,19842,25,cosmos-25-G141_19842.1D.fits,0
WFC3,19926,25,cosmos-25-G141_19926.1D.fits,0
WFC3,20236,25,cosmos-25-G141_20236.1D.fits,0
WFC3,20476,25,cosmos-25-G141_20476.1D.fits,0
WFC3,20651,25,cosmos-25-G141_20651.1D.fits,0
WFC3,20686,25,cosmos-25-G141_20686.1D.fits,0
WFC3,10880,26,cosmos-26-G141_10880.1D.fits,0
WFC3,11580,26,cosmos-26-G141_11580.1D.fits,0
WFC3,12115,26,cosmos-26-G141_12115.1D.fits,0
WFC3,12743,26,cosmos-26-G141_12743.1D.fits,0
WFC3,16320,27,cosmos-27-G141_16320.1D.fits,0
WFC3,17320,27,cosmos-27-G141_17320.1D.fits,0
WFC3,18177,27,cosmos-27-G141_18177.1D.fits,0
WFC3,18192,27,cosmos-27-G141_18192.1D.fits,0
WFC3,18990,27,cosmos-27-G141_18990.1D.fits,0
WFC3,23071,28,cosmos-28-G141_23071.1D.fits,0
WFC3,23951,28,cosmos-28-G141_23951.1D.fits,0
