DETECTOR,ID,region,filename,chip
WFC3,13343,11,goodsn-11-G141_13343.1D.fits,0
WFC3,12893,12,goodsn-12-G141_12893.1D.fits,0
WFC3,17347,13,goodsn-13-G141_17347.1D.fits,0
WFC3,20538,13,goodsn-13-G141_20538.1D.fits,0
WFC3,20567,13,goodsn-13-G141_20567.1D.fits,0
WFC3,20173,14,goodsn-14-G141_20173.1D.fits,0
WFC3,20538,14,goodsn-14-G141_20538.1D.fits,0
WFC3,22184,14,goodsn-14-G141_22184.1D.fits,0
WFC3,25855,14,goodsn-14-G141_25855.1D.fits,0
WFC3,25855,15,goodsn-15-G141_25855.1D.fits,0
WFC3,31269,16,goodsn-16-G141_31269.1D.fits,0
WFC3,36303,17,goodsn-17-G141_36303.1D.fits,0
WFC3,36303,18,goodsn-18-G141_36303.1D.fits,0
WFC3,12893,22,goodsn-22-G141_12893.1D.fits,0
WFC3,13813,23,goodsn-23-G141_13813.1D.fits,0
WFC3,13978,23,goodsn-23-G141_13978.1D.fits,0
WFC3,14746,23,goodsn-23-G141_14746.1D.fits,0
WFC3,14982,23,goodsn-23-G141_14982.1D.fits,0
WFC3,15204,23,goodsn-23-G141_15204.1D.fits,0
WFC3,15178,24,goodsn-24-G141_15178.1D.fits,0
WFC3,18132,24,goodsn-24-G141_18132.1D.fits,0
WFC3,19651,24,goodsn-24-G141_19651.1D.fits,0
WFC3,20173,24,goodsn-24-G141_20173.1D.fits,0
WFC3,21047,24,goodsn-24-G141_21047.1D.fits,0
WFC3,21582,25,goodsn-25-G141_21582.1D.fits,0
WFC3,28082,26,goodsn-26-G141_28082.1D.fits,0
WFC3,33772,27,goodsn-27-G141_33772.1D.fits,0
WFC3,11194,33,goodsn-33-G141_11194.1D.fits,0
WFC3,12006,34,goodsn-34-G141_12006.1D.fits,0
WFC3,13032,34,goodsn-34-G141_13032.1D.fits,0
WFC3,13467,34,goodsn-34-G141_13467.1D.fits,0
WFC3,13977,34,goodsn-34-G141_13977.1D.fits,0
WFC3,15178,34,goodsn-34-G141_15178.1D.fits,0
WFC3,16231,34,goodsn-34-G141_16231.1D.fits,0
WFC3,18794,35,goodsn-35-G141_18794.1D.fits,0
WFC3,19290,35,goodsn-35-G141_19290.1D.fits,0
WFC3,19726,35,goodsn-35-G141_19726.1D.fits,0
WFC3,21735,35,goodsn-35-G141_21735.1D.fits,0
WFC3,21683,36,goodsn-36-G141_21683.1D.fits,0
WFC3,21735,36,goodsn-36-G141_21735.1D.fits,0
WFC3,12481,44,goodsn-44-G141_12481.1D.fits,0
WFC3,14316,45,goodsn-45-G141_14316.1D.fits,0
WFC3,16811,46,goodsn-46-G141_16811.1D.fits,0
WFC3,19106,46,goodsn-46-G141_19106.1D.fits,0
WFC3,22184,114,goodsn-114-G141_22184.1D.fits,0
WFC3,25855,114,goodsn-114-G141_25855.1D.fits,0
WFC3,13978,123,goodsn-123-G141_13978.1D.fits,0
WFC3,14746,123,goodsn-123-G141_14746.1D.fits,0
