DETECTOR,ID,region,filename,chip
WFC3,30794,1,uds-01-G141_30794.1D.fits,0
WFC3,33214,1,uds-01-G141_33214.1D.fits,0
WFC3,34421,1,uds-01-G141_34421.1D.fits,0
WFC3,18742,2,uds-02-G141_18742.1D.fits,0
WFC3,24607,2,uds-02-G141_24607.1D.fits,0
WFC3,24951,2,uds-02-G141_24951.1D.fits,0
WFC3,25545,2,uds-02-G141_25545.1D.fits,0
WFC3,32796,4,uds-04-G141_32796.1D.fits,0
WFC3,35972,4,uds-04-G141_35972.1D.fits,0
WFC3,36380,4,uds-04-G141_36380.1D.fits,0
WFC3,32264,5,uds-05-G141_32264.1D.fits,0
WFC3,34095,5,uds-05-G141_34095.1D.fits,0
WFC3,37899,5,uds-05-G141_37899.1D.fits,0
WFC3,39381,5,uds-05-G141_39381.1D.fits,0
WFC3,40800,5,uds-05-G141_40800.1D.fits,0
WFC3,17475,6,uds-06-G141_17475.1D.fits,0
WFC3,19006,6,uds-06-G141_19006.1D.fits,0
WFC3,19166,6,uds-06-G141_19166.1D.fits,0
WFC3,19421,6,uds-06-G141_19421.1D.fits,0
WFC3,20098,6,uds-06-G141_20098.1D.fits,0
WFC3,20977,6,uds-06-G141_20977.1D.fits,0
WFC3,21956,6,uds-06-G141_21956.1D.fits,0
WFC3,22860,6,uds-06-G141_22860.1D.fits,0
WFC3,22917,6,uds-06-G141_22917.1D.fits,0
WFC3,23396,6,uds-06-G141_23396.1D.fits,0
WFC3,24169,6,uds-06-G141_24169.1D.fits,0
WFC3,28092,6,uds-06-G141_28092.1D.fits,0
WFC3,16687,7,uds-07-G141_16687.1D.fits,0
WFC3,16872,7,uds-07-G141_16872.1D.fits,0
WFC3,17475,7,uds-07-G141_17475.1D.fits,0
WFC3,18619,7,uds-07-G141_18619.1D.fits,0
WFC3,19006,7,uds-07-G141_19006.1D.fits,0
WFC3,19166,7,uds-07-G141_19166.1D.fits,0
WFC3,19421,7,uds-07-G141_19421.1D.fits,0
WFC3,20098,7,uds-07-G141_20098.1D.fits,0
WFC3,20977,7,uds-07-G141_20977.1D.fits,0
WFC3,21956,7,uds-07-G141_21956.1D.fits,0
WFC3,23619,8,uds-08-G141_23619.1D.fits,0
WFC3,24352,8,uds-08-G141_24352.1D.fits,0
WFC3,16057,11,uds-11-G141_16057.1D.fits,0
WFC3,20237,11,uds-11-G141_20237.1D.fits,0
WFC3,24365,11,uds-11-G141_24365.1D.fits,0
WFC3,23619,13,uds-13-G141_23619.1D.fits,0
WFC3,24352,13,uds-13-G141_24352.1D.fits,0
WFC3,27367,13,uds-13-G141_27367.1D.fits,0
WFC3,30149,13,uds-13-G141_30149.1D.fits,0
WFC3,33100,13,uds-13-G141_33100.1D.fits,0
WFC3,10471,14,uds-14-G141_10471.1D.fits,0
WFC3,10925,14,uds-14-G141_10925.1D.fits,0
WFC3,11872,14,uds-14-G141_11872.1D.fits,0
WFC3,13320,14,uds-14-G141_13320.1D.fits,0
WFC3,13976,14,uds-14-G141_13976.1D.fits,0
WFC3,14590,14,uds-14-G141_14590.1D.fits,0
WFC3,14700,14,uds-14-G141_14700.1D.fits,0
WFC3,15104,14,uds-14-G141_15104.1D.fits,0
WFC3,15857,14,uds-14-G141_15857.1D.fits,0
WFC3,16145,14,uds-14-G141_16145.1D.fits,0
WFC3,14895,15,uds-15-G141_14895.1D.fits,0
WFC3,16039,15,uds-15-G141_16039.1D.fits,0
WFC3,16074,15,uds-15-G141_16074.1D.fits,0
WFC3,18752,15,uds-15-G141_18752.1D.fits,0
WFC3,15857,17,uds-17-G141_15857.1D.fits,0
WFC3,16145,17,uds-17-G141_16145.1D.fits,0
WFC3,16679,17,uds-17-G141_16679.1D.fits,0
WFC3,16911,17,uds-17-G141_16911.1D.fits,0
WFC3,17327,17,uds-17-G141_17327.1D.fits,0
WFC3,17332,17,uds-17-G141_17332.1D.fits,0
WFC3,17361,17,uds-17-G141_17361.1D.fits,0
WFC3,17735,17,uds-17-G141_17735.1D.fits,0
WFC3,18070,17,uds-17-G141_18070.1D.fits,0
WFC3,18088,17,uds-17-G141_18088.1D.fits,0
WFC3,19006,17,uds-17-G141_19006.1D.fits,0
WFC3,19421,17,uds-17-G141_19421.1D.fits,0
WFC3,20789,17,uds-17-G141_20789.1D.fits,0
WFC3,22860,17,uds-17-G141_22860.1D.fits,0
WFC3,23396,17,uds-17-G141_23396.1D.fits,0
WFC3,25603,17,uds-17-G141_25603.1D.fits,0
WFC3,30019,19,uds-19-G141_30019.1D.fits,0
WFC3,31083,19,uds-19-G141_31083.1D.fits,0
WFC3,26615,20,uds-20-G141_26615.1D.fits,0
