,ID,field,RA,dec,z_best
0,30794,cosmos,34.462106,-5.174695,0.2861
1,33214,cosmos,34.478931,-5.1671629999999995,0.4589
2,34421,cosmos,34.478761999999996,-5.162737,0.4594
3,18742,cosmos,34.475454,-5.213872,0.5855
4,24607,cosmos,34.481182000000004,-5.196148,0.6331
5,24951,cosmos,34.458458,-5.192756,0.325
6,25545,cosmos,34.479851000000004,-5.191629,0.4283
7,32796,cosmos,34.439797,-5.168577,0.44799999999999995
8,35972,cosmos,34.453804,-5.156203,0.6421
9,36380,cosmos,34.452575,-5.155954,0.6463
10,32264,cosmos,34.376333,-5.169679,0.5628
11,34095,cosmos,34.362931,-5.163997,0.5944
12,37899,cosmos,34.373576,-5.148338,0.496
13,39381,cosmos,34.374714000000004,-5.1455839999999995,0.4978
14,40800,cosmos,34.385797,-5.139737,0.639
15,17475,cosmos,34.385606,-5.2165610000000004,0.6433
16,19006,cosmos,34.390489,-5.214457,0.6405
17,19166,cosmos,34.377539,-5.213712999999999,0.6398
18,19421,cosmos,34.393117,-5.212297,0.6471
19,20098,cosmos,34.379378,-5.2104099999999995,0.6522
20,20977,cosmos,34.372628999999996,-5.207049,0.6504
21,21956,cosmos,34.38042,-5.204675,0.598
22,22860,cosmos,34.390364,-5.201151,0.693
23,22917,cosmos,34.38708,-5.200033,0.6471
24,23396,cosmos,34.397822,-5.198886,0.6504
25,24169,cosmos,34.37853,-5.195608,0.5636
26,28092,cosmos,34.380441,-5.183048,0.6661
27,16687,cosmos,34.361835,-5.22128,0.6481
28,16872,cosmos,34.3706,-5.221614,0.5976
29,17475,cosmos,34.385606,-5.2165610000000004,0.6433
30,18619,cosmos,34.370967,-5.216493,0.6494
31,19006,cosmos,34.390489,-5.214457,0.6405
32,19166,cosmos,34.377539,-5.213712999999999,0.6398
33,19421,cosmos,34.393117,-5.212297,0.6471
34,20098,cosmos,34.379378,-5.2104099999999995,0.6522
35,20977,cosmos,34.372628999999996,-5.207049,0.6504
36,21956,cosmos,34.38042,-5.204675,0.598
37,23619,cosmos,34.355940999999994,-5.198365,0.6274
38,24352,cosmos,34.364496,-5.1958470000000005,0.6484
39,20237,cosmos,34.455085,-5.210430000000001,0.5770000000000001
40,24365,cosmos,34.456628,-5.195942,0.3159
41,23619,cosmos,34.355940999999994,-5.198365,0.6274
42,24352,cosmos,34.364496,-5.1958470000000005,0.6484
43,27367,cosmos,34.36568,-5.1863,0.5019
44,30149,cosmos,34.341667,-5.177638,0.6389
45,33100,cosmos,34.343965999999995,-5.166533,0.6421
46,10471,cosmos,34.407734000000005,-5.242156,0.6389
47,10925,cosmos,34.406212,-5.241957,0.6455
48,11872,cosmos,34.39909,-5.239048,0.6475
49,13320,cosmos,34.390763,-5.233868,0.643
50,13976,cosmos,34.395689000000004,-5.231753,0.3499
51,14590,cosmos,34.415335,-5.2283550000000005,0.6529
52,14700,cosmos,34.392416,-5.227567,0.4461
53,15104,cosmos,34.396971,-5.227387,0.6201
54,14895,cosmos,34.276959000000005,-5.227961,0.6192
55,16039,cosmos,34.267859,-5.223854,0.677
56,16074,cosmos,34.275999,-5.221576,0.6399
57,18752,cosmos,34.273614,-5.21525,0.6226
58,16679,cosmos,34.409059,-5.221939,0.6446
59,16911,cosmos,34.394386,-5.221178,0.6291
60,17327,cosmos,34.394133000000004,-5.220366,0.6459999999999999
61,17332,cosmos,34.409806,-5.219458,0.6364
62,17361,cosmos,34.393544,-5.220275,0.6449
63,17735,cosmos,34.408394,-5.219394,0.648
64,18070,cosmos,34.412352,-5.218082,0.6459999999999999
65,18088,cosmos,34.411316,-5.217029,0.6463
66,19006,cosmos,34.390489,-5.214457,0.6405
67,19421,cosmos,34.393117,-5.212297,0.6471
68,20789,cosmos,34.404371000000005,-5.2074,0.645
69,22860,cosmos,34.390364,-5.201151,0.693
70,23396,cosmos,34.397822,-5.198886,0.6504
71,25603,cosmos,34.411694,-5.191164,0.6454
72,30019,cosmos,34.331076,-5.176643,0.4355
73,31083,cosmos,34.328681,-5.174876,0.43
74,26615,cosmos,34.256584000000004,-5.187775,0.6421
75,27873,cosmos,34.240186,-5.183796,0.6413
76,28075,cosmos,34.249127,-5.183003,0.6058
77,28252,cosmos,34.249621000000005,-5.184051,0.6026
78,28874,cosmos,34.25034,-5.181357,0.5864
79,30204,cosmos,34.248982,-5.176413,0.6418
80,30470,cosmos,34.250915,-5.1763900000000005,0.6372
81,30639,cosmos,34.230755,-5.174737,0.4056
82,30815,cosmos,34.244690999999996,-5.1744769999999995,0.6274
83,32850,cosmos,34.256405,-5.168243,0.4288
84,21786,cosmos,34.235279,-5.205597,0.5076
85,32850,cosmos,34.256405,-5.168243,0.4288
86,39073,cosmos,34.275431,-5.145963,0.2693
87,28446,cosmos,34.393328000000004,-5.1825730000000005,0.4956
88,36173,cosmos,34.416596999999996,-5.156134,0.6913
89,36216,cosmos,34.321145,-5.156305000000001,0.433
90,36676,cosmos,34.30312,-5.1539410000000005,0.6454
91,37064,cosmos,34.300107000000004,-5.153601999999999,0.6234
92,37581,cosmos,34.298424,-5.1502550000000005,0.6364
93,37852,cosmos,34.29645,-5.151069000000001,0.6286
94,38439,cosmos,34.290442,-5.1482589999999995,0.5344
95,12505,cosmos,34.359359000000005,-5.2362269999999995,0.3336
96,13320,cosmos,34.390763,-5.233868,0.643
